code,ncode,seat,candidate,coalition,party,symbol,ballot_name,electorate,incumbent_2022,incumbent_party_2022,majority_2022
1_N.25,N.25,Rengit,Zaidi Japar,BN,UMNO,,Zaidi bin Japar,27608,Datuk Dr Mohd Puad Zarkashi,BN-UMNO,"1,920"
1_N.26,N.26,Machap,Nur Hafiz Roslan,PH,AMANAH,,Nur Hafiz Roslan,35206,Datuk Onn Hafiz Ghazi,BN-UMNO,"6,543"
1_N.26,N.26,Machap,Datuk Onn Hafiz Ghazi,BN,UMNO,,,35206,Datuk Onn Hafiz Ghazi,BN-UMNO,"6,543"
1_N.27,N.27,Layang-Layang,Guna Balakrishnan,PH,PKR,,,25181,Abd Mutalip Abd Rahim,BN-UMNO,"2,815"
1_N.27,N.27,Layang-Layang,Abd Mutalip Abd Rahim,PN,BERSATU,,Haji Abd Mutalip,25181,Abd Mutalip Abd Rahim,BN-UMNO,"2,815"
1_N.27,N.27,Layang-Layang,Chua Jian Boon,BN,MCA,,,25181,Abd Mutalip Abd Rahim,BN-UMNO,"2,815"
1_N.28,N.28,Mengkibol,Chu Poh Yee,PH,DAP,,,68457,Chew Chong Sin,PH-DAP,"10,107"
1_N.28,N.28,Mengkibol,Yap Zhi Peng,BN,MCA,,Warren Yap Zhi Peng,68457,Chew Chong Sin,PH-DAP,"10,107"
1_N.29,N.29,Mahkota,Dr Ahmad Zuhan Md Zain,PH,AMANAH,,Dr Zuhan,67562,Syed Hussien Syed Abdullah,BN-UMNO,"20,648"
1_N.29,N.29,Mahkota,Abd Hamid Ali,BERSAMA,BERSAMA,,Abd Hamid bin Ali,67562,Syed Hussien Syed Abdullah,BN-UMNO,"20,648"
1_N.29,N.29,Mahkota,Syed Hussien Syed Abdullah,BN,UMNO,,Syed Hussein,67562,Syed Hussien Syed Abdullah,BN-UMNO,"20,648"
1_N.30,N.30,Paloh,Dr Ruben Arumungum,PH,DAP,,Dr.Ruban,25419,Lee Ting Han,BN-MCA,"3,176"
1_N.30,N.30,Paloh,D S Jeevakumar,PN,MIPP,,D.S.Jeevan,25419,Lee Ting Han,BN-MCA,"3,176"
1_N.30,N.30,Paloh,Lee Ting Han,BN,MCA,,,25419,Lee Ting Han,BN-MCA,"3,176"
1_N.30,N.30,Paloh,G Kamaleswaren,OTHERS,BEBAS,Kereta Api,,25419,Lee Ting Han,BN-MCA,"3,176"
1_N.31,N.31,Kahang,Mohd Sabri Abd Kadir,PH,AMANAH,,Imam Sabri,29814,R Vidyananthan,BN-MIC,"6,698"
1_N.31,N.31,Kahang,Mazlan Bujang,PN,PAS,,Haji Mazlan B. Bujang,29814,R Vidyananthan,BN-MIC,"6,698"
1_N.31,N.31,Kahang,V Rugendran,BN,MIC,,V.Rugendran,29814,R Vidyananthan,BN-MIC,"6,698"
1_N.32,N.32,Endau,Saiful Nizam Samat,PH,PKR,,Saiful Nizam bin Samat,28767,Alwiyah Talib,PN-Bersatu,"3,041"
1_N.32,N.32,Endau,Hasnul Hakimi Hussein,PN,PAS,,Ustaz Hakimi,28767,Alwiyah Talib,PN-Bersatu,"3,041"
1_N.32,N.32,Endau,Alwiyah Talib,BN,UMNO,,Kak Awi,28767,Alwiyah Talib,PN-Bersatu,"3,041"
1_N.32,N.32,Endau,Jati Awang,OTHERS,ASLI,,,28767,Alwiyah Talib,PN-Bersatu,"3,041"
1_N.33,N.33,Tenggaroh,Md Yusof Dawam,PH,PKR,,Md Yusof bin Dawam,39001,Raven Kumar Krishnasamy,BN-MIC,"1,356"
1_N.33,N.33,Tenggaroh,Muhamad Amerul Muhamad,PN,BERSATU,,Muhamad Amerul,39001,Raven Kumar Krishnasamy,BN-MIC,"1,356"
1_N.33,N.33,Tenggaroh,Mohd Youzaimi Yusof,BN,UMNO,,Youzaimi Yusof,39001,Raven Kumar Krishnasamy,BN-MIC,"1,356"
1_N.34,N.34,Panti,Ahmad Daniel Sharudin,PH,AMANAH,,,41407,Hahasrin Hashim,BN-UMNO,"5,854"
1_N.34,N.34,Panti,Alias Rasman,PN,BERSATU,,Alias Rasman,41407,Hahasrin Hashim,BN-UMNO,"5,854"
1_N.34,N.34,Panti,Dr Muhammad Naqib Md Ghazali,BN,UMNO,,Dr.Naqib Ghazali,41407,Hahasrin Hashim,BN-UMNO,"5,854"
1_N.35,N.35,Pasir Raja,Mohd Fakharuddin Moslim,PH,PKR,,,29818,Rashidah Ismail,BN-UMNO,"4,888"
1_N.35,N.35,Pasir Raja,Yuhanita Yunan,PN,PAS,,,29818,Rashidah Ismail,BN-UMNO,"4,888"
1_N.35,N.35,Pasir Raja,Datuk Seri Dr Adham Baba,BN,UMNO,,Dr.Adham Baba,29818,Rashidah Ismail,BN-UMNO,"4,888"
1_N.36,N.36,Sedili,Amirul Huzni Onn,PH,AMANAH,,Amirul Huzni Onn,29090,Muszaidee Makmor,BN-UMNO,"5,679"
1_N.36,N.36,Sedili,Rasman Ithnain,PN,BERSATU,,Rasman,29090,Muszaidee Makmor,BN-UMNO,"5,679"
1_N.36,N.36,Sedili,Muszaidee Makmor,BN,UMNO,,,29090,Muszaidee Makmor,BN-UMNO,"5,679"
